symbol,status,entry_price,stop_loss,take_profit,units,entry_timestamp,exit_timestamp,exit_reason,pnl
NEOUSDT,OPEN,6.682,6.544200152868603,9.437996942627946,36284.510499001604,422,,,0.0
NEARUSDT,OPEN,2.504,2.4327424085338696,3.9291518293226084,70167.96241810333,422,,,0.0
BIOUSDT,OPEN,0.17659,0.14542274195529037,0.7999351608941926,160424.76347542246,219,,,0.0
TOWNSUSDT,OPEN,0.03011,0.024661642273859516,0.13907715452280972,917707.7298009774,419,,,0.0
PHAUSDT,OPEN,0.10664,0.1035097568277353,0.16924486344529388,1597319.9923578333,436,,,0.0
SHELLUSDT,OPEN,0.1248,0.11857026759035845,0.2493946481928309,802602.6916118693,432,,,0.0
HIGHUSDT,OPEN,0.5112,0.5093199422432451,0.5488011551350985,2659492.7640043614,436,,,0.0
STEEMUSDT,OPEN,0.1317,0.13058447398456047,0.1540105203087909,4482190.402372534,440,,,0.0
1000XUSDT,OPEN,0.0488,0.04828104598681084,0.059179080263783206,9634765.071519906,440,,,0.0
SOLVUSDT,OPEN,0.04803,0.04345062187587952,0.13961756248240959,1091851.3091688198,414,,,0.0
BOMEUSDT,OPEN,0.001954,0.00191950289196162,0.0026439421607675996,144939685.7973491,405,,,0.0
INITUSDT,OPEN,0.337,0.32606185988261666,0.5557628023476673,457116.10441466037,412,,,0.0
CTSIUSDT,OPEN,0.0833,0.07737976621055095,0.20170467578898088,844561.2416372692,436,,,0.0
TAOUSDT,OPEN,333.94,322.7734212876626,557.2715742467483,447.76472085185253,437,,,0.0
GRTUSDT,OPEN,0.08986,0.08859731527890735,0.11511369442185287,3959816.66403101,428,,,0.0
ZKJUSDT,OPEN,0.1834,0.1817078541382085,0.2172429172358301,2954828.0162482033,425,,,0.0
GMTUSDT,OPEN,0.04162,0.04135373043679565,0.04694539126408687,18777962.977927145,374,,,0.0
FETUSDT,OPEN,0.6315,0.6118816518591877,1.023866962816244,254863.45558311613,364,,,0.0
PEOPLEUSDT,OPEN,0.01929,0.018689084853923274,0.03130830292153455,8320642.328029417,335,,,0.0
BICOUSDT,OPEN,0.09766,0.09579304089332326,0.13499918213353476,2678151.8578091403,428,,,0.0
TIAUSDT,OPEN,1.6386,1.6177745723678476,2.0551085526430493,240091.10825078486,400,,,0.0
ACEUSDT,OPEN,0.5128,0.5119487520625612,0.529824958748777,5873729.356741248,24,,,0.0
CUSDT,OPEN,0.25219,0.22679045066442588,0.7601809867114829,196853.88641904332,338,,,0.0
RESOLVUSDT,OPEN,0.16184,0.15262420599040727,0.34615588019185484,542546.8488982596,432,,,0.0
HYPEUSDT,OPEN,47.446,46.555197278992566,65.26205442014864,5612.915050759351,412,,,0.0
BMTUSDT,OPEN,0.06849,0.06337817255195193,0.1707265489609614,978123.7827010825,432,,,0.0
SXPUSDT,OPEN,0.1721,0.17048627014902498,0.20437459701950042,3098412.0402674484,434,,,0.0
FILUSDT,OPEN,2.422,2.343034450702463,4.00131098595074,63318.751588244275,435,,,0.0
DMCUSDT,OPEN,0.003558,0.003444601855438987,0.005825962891220263,44092432.194159776,424,,,0.0
ZECUSDT,OPEN,50.7,44.174374900344894,181.2125019931022,766.210121427947,418,,,0.0
DAMUSDT,OPEN,0.05764,0.04707704910548306,0.26889901789033865,473352.57447759446,440,,,0.0
NILUSDT,OPEN,0.3001,0.27816585330774146,0.7387829338451704,227955.07252464537,422,,,0.0
LUNA2USDT,OPEN,0.149,0.14730612397932605,0.1828775204134789,2951809.8957505994,440,,,0.0
1000CATUSDT,OPEN,0.00736,0.007204629365562417,0.010467412688751667,32181113.362246305,367,,,0.0
ILVUSDT,OPEN,14.877,14.057585904576621,31.265281908467593,6101.92090656748,376,,,0.0
IMXUSDT,OPEN,0.5239,0.5169047719675354,0.6638045606492933,714772.9819235537,436,,,0.0
LDOUSDT,OPEN,1.2454,1.2383128839896238,1.3871423202075253,705505.5953196605,15,,,0.0
GASUSDT,OPEN,3.249,3.2265105777736856,3.6987884445262913,222326.7431988346,420,,,0.0
ZROUSDT,OPEN,1.9168,1.8604900733111165,3.0429985337776717,88794.2907051782,431,,,0.0
SANDUSDT,OPEN,0.28799,0.2827317768566116,0.3931544628677684,950891.5585461407,408,,,0.0
CUDISUSDT,OPEN,0.11232,0.08167468265706448,0.7252263468587103,163157.0639013996,409,,,0.0
AUCTIONUSDT,OPEN,9.627,9.599839601724513,10.170207965509752,184091.55673216083,370,,,0.0
AEVOUSDT,OPEN,0.08875,0.0875136048449278,0.11347790310144384,4044014.552700227,358,,,0.0
C98USDT,OPEN,0.0501,0.049045755984150216,0.07118488031699566,4742735.007103366,405,,,0.0
SWELLUSDT,OPEN,0.009338,0.009219829284834837,0.01170141430330328,42311667.42971502,430,,,0.0
SAGAUSDT,OPEN,0.2435,0.23774094682025101,0.3586810635949796,868198.2686983861,427,,,0.0
TANSSIUSDT,OPEN,0.04425,0.04145530709916137,0.10014385801677254,1789105.3426655957,439,,,0.0
RLCUSDT,OPEN,1.3602,1.3019226246790938,2.525747506418125,85796.58868415636,435,,,0.0
NTRNUSDT,OPEN,0.09965,0.09643400888117896,0.16396982237642077,1554730.661642178,375,,,0.0
SAFEUSDT,OPEN,0.4259,0.4243783140011506,0.45633371997698774,3285829.010571641,436,,,0.0
PORT3USDT,OPEN,0.03202,0.03174278297249902,0.03756434055001954,18036410.119080365,407,,,0.0
ETHWUSDT,OPEN,1.601,1.5976379716487317,1.6682405670253662,1487197.4527263502,14,,,0.0
OMUSDT,OPEN,0.21135,0.2061633117939899,0.31508376412020245,964006.2794224272,418,,,0.0
GRASSUSDT,OPEN,0.7422,0.7385242314546341,0.8157153709073177,1360259.7492988498,24,,,0.0
SONICUSDT,OPEN,0.1945,0.1935638394611953,0.2132232107760943,5340964.282027928,412,,,0.0
ALPHAUSDT,OPEN,0.01539,0.014684685627238734,0.029496287455225298,7089037.446415972,406,,,0.0
STRKUSDT,OPEN,0.1257,0.12319450193566805,0.17580996128663903,1995611.2004952459,422,,,0.0
GRIFFAINUSDT,OPEN,0.03839,0.03433294347479131,0.11953113050417385,1232420.590872296,428,,,0.0
BTRUSDT,OPEN,0.07635,0.05901539692727299,0.42304206145454015,288440.40899134474,432,,,0.0
LINEAUSDT,OPEN,0.03065,0.028546173174305748,0.07272653651388504,2376621.4685232113,314,,,0.0
1000CHEEMSUSDT,OPEN,0.0011737,0.0011363991864879644,0.001919716270240712,134045333.84738868,440,,,0.0
KERNELUSDT,OPEN,0.1998,0.1891486028096137,0.4128279438077259,469421.9838607543,437,,,0.0
ESPORTSUSDT,OPEN,0.1179,0.11118775793777375,0.2521448412445252,744907.581348704,398,,,0.0
EPTUSDT,OPEN,0.004723,0.004392160324010411,0.011339793519791768,15113060.382024286,402,,,0.0
RENDERUSDT,OPEN,3.478,3.4517140455332793,4.0037190893344174,190215.65324288333,408,,,0.0
QUSDT,OPEN,0.011002,0.009694054381713604,0.03716091236572791,3822788.9065837064,430,,,0.0
TAKEUSDT,OPEN,0.18302,0.1695977083342118,0.4514658333157635,372514.6289842892,384,,,0.0
BROCCOLI714USDT,OPEN,0.02366,0.023230315345318303,0.03225369309363395,11636440.690915318,434,,,0.0
SCRTUSDT,OPEN,0.1745,0.1712772453446934,0.2389550931061316,1551467.7767254205,420,,,0.0
XAIUSDT,OPEN,0.04687,0.04652244332605153,0.05382113347896945,14386142.965395292,377,,,0.0
REDUSDT,OPEN,0.7463,0.5955392524099401,3.761514951801197,33165.13137488359,411,,,0.0
LTCUSDT,OPEN,114.61,112.83965041302211,150.01699173955774,2824.300938514273,423,,,0.0
MELANIAUSDT,OPEN,0.1979,0.19361357033122747,0.2836285933754503,1166471.956002447,424,,,0.0
CHILLGUYUSDT,OPEN,0.04545,0.0430249373376776,0.09395125324644793,2061802.3928551506,360,,,0.0
GALAUSDT,OPEN,0.01636,0.016096922573133512,0.02162154853732974,19005811.55728546,405,,,0.0
1000SATSUSDT,OPEN,3.63e-05,3.574880186626565e-05,4.732396267468699e-05,9071148274.986279,409,,,0.0
MUSDT,OPEN,1.8756,1.4320113786078772,10.747372427842455,11271.704815845824,337,,,0.0
IPUSDT,OPEN,8.8768,8.181765755276356,22.777484894472874,7193.890139885232,420,,,0.0
XVSUSDT,OPEN,6.272,6.194010520931038,7.831789581379239,64111.21166200851,440,,,0.0
BATUSDT,OPEN,0.1573,0.15383126299759842,0.22667474004803156,1441446.842622618,436,,,0.0
MEWUSDT,OPEN,0.002809,0.002735792260355064,0.004273154792898721,68298789.50300115,423,,,0.0
AVAAIUSDT,OPEN,0.02558,0.02432699867655402,0.05064002646891957,3990418.770068896,407,,,0.0
USUALUSDT,OPEN,0.06055,0.059667934447608574,0.0781913110478285,5668512.942653948,370,,,0.0
BRUSDT,OPEN,0.07029,0.06964830584300857,0.08312388313982864,7791873.972239958,427,,,0.0
1000FLOKIUSDT,OPEN,0.09386,0.0910662443122772,0.14973511375445608,1789705.528644672,420,,,0.0
MOVEUSDT,OPEN,0.1198,0.11767770902690577,0.1622458194618846,2355944.619935959,420,,,0.0
ONGUSDT,OPEN,0.16905,0.16591377850273353,0.23177442994532946,1594275.1506416223,400,,,0.0
BABYUSDT,OPEN,0.04843,0.04609304582192053,0.0951690835615894,2139537.029394836,438,,,0.0
MUBARAKUSDT,OPEN,0.02842,0.027948873816713213,0.03784252366573575,10612868.011533046,410,,,0.0
CGPTUSDT,OPEN,0.08366,0.07945763910606857,0.16770721787862863,1189807.3788047163,432,,,0.0
SEIUSDT,OPEN,0.2973,0.2909283745821798,0.4247325083564043,784729.1188863611,404,,,0.0
XLMUSDT,OPEN,0.36345,0.3596998688463663,0.43845262307267413,1333286.7025611163,434,,,0.0
MITOUSDT,OPEN,0.2379,0.2056714550061373,0.8824708998772542,155141.97122309278,388,,,0.0
USDCUSDT,OPEN,0.999309,0.9991893573315622,1.0017018533687556,41791110.69058295,426,,,0.0
HUSDT,OPEN,0.03692,0.03173210473323762,0.14067790533524763,963781.9853522908,367,,,0.0
KSMUSDT,OPEN,15.468,15.219978540091144,20.42842919817711,20159.54587896318,376,,,0.0
WCTUSDT,OPEN,0.2957,0.2904616175407857,0.4004676491842864,954493.1167072377,427,,,0.0
CHZUSDT,OPEN,0.04083,0.039633703888005994,0.06475592223988008,4179567.2073747083,436,,,0.0
HIPPOUSDT,OPEN,0.001967,0.0017812076313800246,0.005682847372399508,26911761.969228838,432,,,0.0
PUMPBTCUSDT,OPEN,0.04217,0.03957387993094006,0.09409240138119877,1925950.9833882651,425,,,0.0
